               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10498,              0.0673,                   0,              0.2983,             0.25127,             0.15175,            0.042613,            0.072712,            0.026981,                   0,              0.0721,              0.0031,              0.0031
                   1,            0.077304,            0.061389,                   0,             0.26448,             0.45455,             0.26785,            0.085562,             0.06428,            0.025575,                   0,            0.042676,           0.0056763,           0.0056763
                   2,            0.067233,            0.050168,                   0,              0.4477,             0.58954,             0.57135,             0.21579,            0.061173,            0.019329,                   0,            0.012619,            0.007619,            0.007619
                   3,            0.061242,            0.055001,                   0,             0.73147,             0.69697,             0.80255,             0.42956,            0.043426,            0.013755,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.055123,            0.049295,                   0,             0.68609,             0.75758,             0.82194,             0.54205,            0.035744,            0.012752,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.047784,            0.044762,                   0,             0.63722,             0.83333,             0.77263,             0.48963,            0.032645,            0.011481,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.043015,            0.043861,                   0,              0.9369,             0.87879,             0.96113,             0.64046,            0.026493,            0.010829,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.040379,            0.045276,                   0,             0.93515,             0.87399,             0.92931,             0.59289,             0.02604,            0.011135,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.038758,            0.046686,                   0,             0.95553,              0.9768,             0.98625,             0.72997,            0.021718,            0.010175,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.035412,            0.042988,                   0,             0.96959,             0.96628,             0.99121,             0.78318,            0.017331,           0.0092218,                   0,             0.00208,             0.00208,             0.00208
